Postal,Corona Related,Total,Ratio
AG,5,52,9.615384615384617
AR,1,8,12.5
AI,1,8,12.5
BL,14,91,15.384615384615385
BS,14,91,15.384615384615385
BE,7,86,8.13953488372093
FR,1,12,8.333333333333332
GE,5,37,13.513513513513514
GL,0,8,0.0
GR,0,16,0.0
JU,2,18,11.11111111111111
LU,5,99,5.05050505050505
NE,1,6,16.666666666666664
NW,0,12,0.0
OW,2,4,50.0
SH,1,11,9.090909090909092
SZ,0,9,0.0
SO,0,18,0.0
SG,12,107,11.214953271028037
TG,2,20,10.0
TI,3,38,7.894736842105263
UR,0,8,0.0
VS,1,38,2.631578947368421
VD,7,39,17.94871794871795
ZG,7,90,7.777777777777778
ZH,5,38,13.157894736842104
