Postal,Corona Related,Total,Ratio
AG,24,153,15.686274509803921
AR,8,24,33.33333333333333
AI,8,24,33.33333333333333
BL,88,378,23.28042328042328
BS,88,378,23.28042328042328
BE,188,1005,18.70646766169154
FR,11,61,18.0327868852459
GE,50,176,28.40909090909091
GL,4,18,22.22222222222222
GR,16,57,28.07017543859649
JU,9,50,18.0
LU,38,232,16.379310344827587
NE,23,69,33.33333333333333
NW,0,23,0.0
OW,2,13,15.384615384615385
SH,9,46,19.565217391304348
SZ,4,25,16.0
SO,12,55,21.818181818181817
SG,79,383,20.626631853785902
TG,8,43,18.6046511627907
TI,38,188,20.212765957446805
UR,3,28,10.714285714285714
VS,35,205,17.073170731707318
VD,49,177,27.683615819209038
ZG,41,233,17.59656652360515
ZH,26,114,22.807017543859647
