Canton,Postal,Population,Count per Capita,Normalized Count,
Aargau,AG,"678,207",,,
Appenzell Ausserrhoden,AR,"55,234",,,
Appenzell Innerrhoden,AI,"16,145",,,
Basel-Landschaft,BL,"290,765",,,
Basel-Stadt,BS,"200,298",,,
Bern,BE,"1,034,977",,,
Fribourg,FR,"318,714",,,
Geneva,GE,"499,480",,,
Glarus,GL,"40,403",,,
Graubünden; Grisons,GR,"198,379",,,
Jura,JU,"73,419",,,
Luzern,LU,"409,557",,,
Neuchâtel,NE,"176,850",,,
Nidwalden,NW,"43,223",,,
Obwalden,OW,"37,841",,,
Schaffhausen,SH,"81,991",,,
Schwyz,SZ,"159,165",,,
Solothurn,SO,"273,194",,,
St. Gallen,SG,"507,697",,,
Thurgau,TG,"276,472",,,
Ticino,TI,"353,343",,,
Uri,UR,"36,433",,,
Valais,VS,"343,955",,,
Vaud,VD,"799,145",,,
Zug,ZG,"126,837",,,
Zürich,ZH,"1,520,968",,,
