Country,Alpha-3,Count per Capita
Afghanistan,AFG,2.2995865986890547e-05
Åland Islands,ALA,0.00017316017316017316
Albania,ALB,8.2119842302183e-05
Algeria,DZA,4.381188118811881e-06
American Samoa,ASM,0.0004903677758318739
Andorra,AND,0.0031404619683646526
Angola,AGO,1.1790629349002629e-05
Anguilla,AIA,0.002304490038655962
Antarctica,ATA,0.0
Antigua and Barbuda,ATG,0.004577321976939568
Argentina,ARG,5.042394655704008e-05
Armenia,ARM,3.673523911301095e-05
Aruba,ABW,0.0005773134439540384
Australia,AUS,0.0024626244331883754
Austria,AUT,0.0001678903947326652
Azerbaijan,AZE,1.2743435589126971e-05
Bahamas,BHS,0.0032139456142207174
Bahrain,BHR,0.0004612427930813581
Bangladesh,BGD,1.2036759443499246e-05
Barbados,BRB,0.003136842105263158
Belarus,BLR,9.264425658247971e-06
Belgium,BEL,0.0005542642257249452
Belize,BLZ,0.0005238995409127734
Benin,BEN,9.949637936430073e-06
Bermuda,BMU,0.0061820060044549185
Bhutan,BTN,0.0003210334957840179
Bolivia (Plurinational State of),BOL,1.1197026797944372e-05
"Bonaire, Sint Eustatius and Saba",BES,0.00011488970588235294
Bosnia and Herzegovina,BIH,0.000131118423157949
Botswana,BWA,0.0012684440450848728
Bouvet Island,BVT,
Brazil,BRA,3.542323412837181e-05
British Indian Ocean Territory,IOT,0.0
Brunei Darussalam,BRN,0.00086185967467832
Bulgaria,BGR,2.3903433483594138e-05
Burkina Faso,BFA,2.731896366351926e-06
Burundi,BDI,6.228678516645154e-06
Cabo Verde,CPV,5.835414945062392e-05
Cambodia,KHM,2.6557545657860482e-05
Cameroon,CMR,3.0295168290540527e-05
Canada,CAN,0.003483012135889637
Cayman Islands,CYM,0.005666403379236924
Central African Republic,CAF,1.760704281712685e-05
Chad,TCD,1.7934745119679933e-06
Chile,CHL,9.449260385116454e-05
China,CHN,6.60436591231682e-06
Christmas Island,CXR,0.006274131274131274
Cocos (Keeling) Islands,CCK,0.0
Colombia,COL,4.563170460483169e-05
Comoros,COM,8.683215220932006e-06
Congo,COG,1.5397595443999156e-05
"Congo, Democratic Republic of the",COD,3.5753769435231576e-06
Cook Islands,COK,0.0004972375690607735
Costa Rica,CRI,0.00011900918108800974
Côte d'Ivoire,CIV,1.4070633964984236e-05
Croatia,HRV,1.574927535436466e-05
